品牌id,品牌,车系id,车系,修改（认证车主LOGO车系使用）,厂商,,
150,天马,2184,英雄,英雄,天马,,
150,天马,2186,风锐,风锐,天马,,
151,新大地,2190,源动力,源动力,新大地,,
151,新大地,2191,魔兽,魔兽,新大地,,
152,中客华北,2192,腾狮,腾狮,中客华北,,
152,中客华北,2193,华北醒狮,醒狮,中客华北,,
152,中客华北,2194,超赛,超赛,中客华北,,
35,福特,2196,翼虎/Kuga(进口),翼虎/Kuga,进口福特,,
132,英菲尼迪,2198,英菲尼迪EX,EX,英菲尼迪,,
132,英菲尼迪,2201,英菲尼迪FX,FX,英菲尼迪,,
132,英菲尼迪,2202,英菲尼迪M,M系,英菲尼迪,,
126,雪佛兰,2203,乐驰,乐驰,上汽通用五菱,,
146,华普,2204,朗风,朗风,朗风,,
154,中顺,2205,中顺世纪,中顺世纪,中顺世纪,无具体车系，删除,
146,华普,2206,杰士达美鹿,杰士达美鹿,华普汽车,,
135,依维柯,2207,都灵V,都灵V,南京依维柯,商用车，删除,
105,奇瑞,2208,奇瑞X1,X1,奇瑞,,
17,北汽威旺,2209,北汽威旺307,307,北汽威旺,,
37,菲亚特,2210,Ottimo致悦,Ottimo致悦,广汽菲亚特,,
57,海格,2211,御骏,御骏,苏州金龙,商用车，删除,
51,海马,2212,海马M8,M8,海马汽车,,
61,Jeep,2213,自由光,自由光,Jeep,,
86,劳斯莱斯,2214,魅影,魅影,劳斯莱斯,,
78,铃木,2215,速翼特,速翼特,铃木(进口),,
98,摩根,2216,摩根Aero,Aero,摩根,,
112,斯柯达,2217,速尊,速尊,斯柯达(进口),,
122,沃尔沃,2218,沃尔沃S60L,S60L,沃尔沃亚太,,
138,众泰,2219,众泰T600,T600,众泰汽车,,
1,奥迪,2220,奥迪SQ5,SQ5,进口奥迪,,
146,华普,2221,海景,海景,华普汽车,,
127,雪铁龙,2222,雪铁龙C3,C3,进口雪铁龙,,
53,红旗,2223,红旗,红旗,红旗,,
150,天马,2224,风驰,风驰,天马汽车,,
137,中华,2225,中华H220 ,H220 ,华晨中华,,
125,现代,2226,瑞奕,瑞奕,北京现代,,
62,吉利全球鹰,2227,熊猫CROSS,CROSS,吉利熊猫CROSS,,
22,长城,2228,嘉誉,嘉誉,长城汽车,,
9,奔驰,2229,奔驰CLA级,CLA级,进口奔驰,,
126,雪佛兰,2230,创酷,创酷,上海通用雪佛兰,,
5,本田,2231,飞度（进口）,飞度,进口本田,,
9,奔驰,2232,劳伦士,劳伦士,进口奔驰,,
9,奔驰,2233,斯宾特Sprinter,Sprinter,进口奔驰,,
156,北汽幻速,2234,幻速S3,幻速S3,北汽银翔,,
105,奇瑞,2235,瑞虎3,瑞虎3,奇瑞,,
108,日产,2236,日产ZN6493,ZN6493,郑州日产,,
108,日产,2237,日产ZN6494,ZN6494,郑州日产,,
51,海马,2239,海马S5,S5,海马汽车,,
51,海马,2240,福美来M5,福美来M5,海马汽车,,
64,捷豹,2241,捷豹X-TYPE(进口),X-TYPE,捷豹,,
132,英菲尼迪,2242,英菲尼迪Q50,Q50,英菲尼迪,,
156,北汽幻速,2243,幻速S2,幻速S2,北汽银翔,,
81,力帆,2244,力帆T11,力帆T11,力帆汽车,,
81,力帆,2245,福顺,福顺,力帆汽车,,
21,长安轿车,2246,长安V5,长安V5,长安跨越,,
14,北汽制造,2247,锐铃,锐铃,北京汽车制造厂,,
45,广汽吉奥,2248,帅驰,帅驰,广汽吉奥,,
92,马自达,2249,Mazda3 Axela昂克赛拉两厢,昂克赛拉,长安马自达,,
92,马自达,2250,Mazda3 Axela昂克赛拉三厢,昂克赛拉,长安马自达,,
31,DS,2252,DS 5LS,DS 5LS,长安DS,,
28,东风小康,2254,风光330,风光330,风光330,,
28,东风小康,2255,东风小康C36,C36,东风小康C36,,
26,东风风行,2256,景逸X3,景逸X3,景逸X3,,
36,丰田,2257,雷凌,雷凌,广汽丰田,,
11,保时捷,2258,保时捷Macan,Macan,保时捷Macan,,
82,兰博基尼,2259,Huracan,Huracan,Huracan,,
50,哈弗,2260,哈弗H2,H2,哈弗,,
25,大众,2261,凯路威,凯路威,凯路威,,
9,奔驰,2262,奔驰CLA级AMG,CLA级AMG,进口奔驰AMG,,
9,奔驰,2263,奔驰A级AMG,A级AMG,进口奔驰AMG,,
15,宝骏,2264,宝骏610,610,宝骏610,,
45,广汽吉奥,2265,吉奥E美,E美,吉奥E美,,
107,庆铃,2266,庆铃皮卡,庆铃皮卡,庆铃皮卡,无具体车系，删除,
112,斯柯达,2267,昕动,昕动,上海大众斯柯达,,
130,新凯,2268,威霆122,威霆122,威霆122,,
10,标致,2269,标致2008,2008,东风标致,,
85,猎豹汽车,2270,猎豹Q6,Q6,猎豹SUV,,
92,马自达,2271,阿特兹,阿特兹,一汽马自达,,
34,大通,2272,上汽MAXUS大通G10,G10,上汽MAXUS大通G10,,
103,欧朗,2273,欧朗两厢,欧朗,欧朗两厢,,
122,沃尔沃,2274,沃尔沃V40 Cross Country,V40 Cross Country,沃尔沃V40 Cross Country,,
85,猎豹汽车,2275,飞腾C5,飞腾C5,猎豹SUV,,
39,福田,2276,新风景G7,风景G7,新风景G7,华北醒狮,
115,绅宝,2277,绅宝D50,绅宝D50,绅宝D50,,
46,观致汽车,2278,观致3 五门版,观致3,观致3 五门版,,
104,起亚,2279,起亚K3S,K3S,东风悦达起亚,,
104,起亚,2280,赛拉图欧风,赛拉图,东风悦达起亚,,
97,迈凯伦,2281,迈凯伦650S,650S,迈凯伦650S,,
67,金杯,2282,新海狮,新海狮,华晨金杯,,
22,长城,2283,风骏6,风骏6,风骏6,,
3,阿尔法·罗密欧,2284,156,156,156,无具体车系，此项删除,
1,奥迪,2285,奥迪A6,A6,一汽奥迪,,
15,宝骏,2286,宝骏730,730,上汽通用五菱,,
7,宝马,2287,宝马X4,X4,进口宝马,,
7,宝马,2288,宝马M4,M4,进口宝马M系,,
30,东风风神,2289,风神A30,A30,东风乘用车,,
38,法拉利,2290,LaFerrari,LaFerrari,法拉利,无具体车系，此项删除,
108,日产,2291,启辰R30,R30,东风日产,,
104,起亚,2292,起亚K4,K4,东风悦达起亚,,
125,现代,2293,捷恩斯,捷恩斯,进口现代,,
81,力帆,2294,力帆X50,X50,力帆,,
9,奔驰,2295,奔驰GLA级(进口),GLA级,进口奔驰,,
131,一汽,2296,骏派D60,D60,天津一汽,,
5,本田,2297,缤智,缤智,广汽本田,,
87,林肯,2298,林肯MKC,MKC,林肯,,
6,别克,2299,昂科威,昂科威,上海通用别克,,
8,比亚迪,2300,比亚迪S7,S7,比亚迪,,
143,吉利,2301,豪情SUV,SUV,吉利,,
125,现代,2302,北京现代ix25,ix25,北京现代,,
31,DS,2303,DS 6,DS 6,长安标致DS,,
132,英菲尼迪,2304,英菲尼迪ESQ,ESQ,英菲尼迪,,
13,北京汽车,2305,北京40,北京40,北京汽车,,
115,绅宝,2306,绅宝D60,D60,绅宝D60,,
105,奇瑞,2307,艾瑞泽3,艾瑞泽3,奇瑞,,
157,凯翼,2308,凯翼C3,凯翼C3,\N,,
52,华泰,2309,新圣达菲,新圣达菲,华泰,,
1,奥迪,2310,奥迪S3(进口),S3,进口奥迪,,
101,讴歌,2311,讴歌TLX,TLX,讴歌,,
21,长安轿车,2312,悦翔V7,V7,长安轿车,,
13,北京汽车,2313,绅宝D20,D20,北京汽车,,
79,路虎,2314,发现神行,发现神行,路虎,,
80,雷克萨斯,2315,雷克萨斯NX,NX,雷克萨斯,,
5,本田,2316,本田XR-V,XR-V,东风本田,,
30,东风风神,2317,风神AX7,AX7,东风风神,,
132,英菲尼迪,2318,英菲尼迪Q50L,Q50L,英菲尼迪,,
122,沃尔沃,2319,沃尔沃XC60,XC60,长安沃尔沃,,
138,众泰,2320,众泰Z500,Z500,众泰,,
40,福迪,2321,揽福,揽福,福迪,,
22,长城,2322,哈弗H1,H1,长城,,
22,长城,2323,哈弗H9,H9,长城,,
93,MG,2324,MG GT,GT,MG,,
